Index,SMILES,ST Gap,HL Gap,S1,T1
185,c1ccc2c(c1)[nH]c1cc(-n3ccc4cc5ccoc5cc43)ccc12,0.799,4.098581068,3.6225,2.8235
186,c1cc2[nH]c3c(-n4ccc5cc6ccoc6cc54)cncc3c2cn1,0.7813,4.145112562,3.6224,2.8411
187,c1cnc2oc3ncc(-n4ccc5cc6ccoc6cc54)cc3c2c1,0.1764,3.462378536,2.9513,2.7749
188,CC(=O)c1ccc(-c2c3ccoc3cc3ccoc23)cc1,0.968,3.884699464,3.4987,2.5307
189,c1ccc2c(-c3c4ccoc4cc4ccoc34)cncc2c1,0.9461,4.09395513,3.5599,2.6138
190,c1cc2cc(-c3c4ccoc4cc4ccoc34)cnc2cn1,0.8521,3.831909348,3.3594,2.5073
191,c1cnc2cc(-c3c4ccoc4cc4ccoc34)cnc2c1,0.789,3.775309636,3.3029,2.5139
192,c1cc(-c2ccc(-c3c4ccoc4cc4ccoc34)cc2)ccn1,1.0863,4.041437128,3.6702,2.5839
193,O=C1C=CC(=O)c2c1cccc2-c1c2ccoc2cc2ccoc12,0.1346,2.457733648,1.9085,1.7739
194,CC1c2ccccc2-c2ccc(-c3c4ccoc4cc4ccoc34)cc21,1.1665,4.084159026,3.7372,2.5707
195,c1cnc2c(c1)[SiH2:2]c1cc(-c3c4ccoc4cc4ccoc34)cnc1-2,0.9335,3.87626393,3.4636,2.5301
196,O=[SH](=O)n1cnc2cc3nc[nH]c3cc21,1.4662,5.08581066,4.5969,3.1307
197,c1nc2cc3ncn(-c4cnco4)c3cc2[nH]1,1.2036,4.752198896,4.2555,3.0519
198,c1nc2cc3ncn(-c4nnco4)c3cc2[nH]1,1.1635,4.801179416,4.2525,3.089
199,O=Cc1ccc(-n2cnc3cc4nc[nH]c4cc32)cc1,0.4528,3.724696432,3.2945,2.8417
200,c1cc(-n2cnc3cc4nc[nH]c4cc32)c2ncoc2c1,0.7015,4.277904194,3.7709,3.0694
201,N#Cc1ccc(-n2cnc3cc4nc[nH]c4cc32)cc1C#N,0.3527,3.493127418,3.0284,2.6757
202,c1cc(-n2cnc3cc4nc[nH]c4cc32)c2cnncc2n1,0.2288,3.45448723,2.8888,2.66
203,c1cnc(-c2ccc(-n3cnc4cc5nc[nH]c5cc43)cc2)nc1,0.5052,3.77830289,3.3614,2.8562
204,O=C1C=CC(=O)c2c1cccc2-n1cnc2cc3nc[nH]c3cc21,0.1522,2.203307058,1.7354,1.5832
205,c1cc2c(cn1)[nH]c1cc(-n3cnc4cc5nc[nH]c5cc43)ccc12,0.5595,4.057763968,3.6023,3.0428
206,c1cc2[nH]ccc2c(-n2ccc3nc4ccoc4nc32)n1,0.7256,4.18783446,3.578,2.8524
207,c1cnc2c(-n3ccc4nc5ccoc5nc43)cncc2n1,0.5476,3.428908514,2.8961,2.3485
208,c1ccc2cc3c(-n4ccc5nc6ccoc6nc54)cccc3cc2c1,1.3738,3.49530433,3.1449,1.7711
209,c1cnc2c(c1)-c1cc(-n3ccc4nc5ccoc5nc43)ccc1[SiH2:2]2,0.7678,4.181575838,3.5925,2.8247
210,O=[SH](=O)n1cnc2nc3nc[nH]c3cc21,1.1254,5.011251424,4.4313,3.3059
211,c1ncnc(-n2cnc3nc4nc[nH]c4cc32)n1,0.6353,4.398994924,3.8185,3.1832
212,c1ccc2c(-n3cnc4nc5nc[nH]c5cc43)cncc2c1,0.8679,4.072730238,3.5259,2.658
213,c1cncc(-c2ccc(-n3cnc4nc5nc[nH]c5cc43)cc2)c1,0.9024,4.551378764,4.0799,3.1775
214,c1ccc(-c2ccc(-n3cnc4nc5nc[nH]c5cc43)cn2)nc1,0.8205,4.245250514,3.7719,2.9514
